epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.33,2.49971,3.90691,4.72414,2.39635,0.0039,0.33938,0.01918,0.00612,0,0,0,0,2.50154,3.01323,3.96347,2.74863,0.000554925,0.000554925,0.000554925
2,263.435,2.51601,3.57038,4.16589,2.46069,0.0026,0.30463,0.01124,0.00327,0,0,0,0,2.78402,14.2532,3.92445,3.20267,0.00103729,0.00103729,0.00103729
3,387.914,2.47807,3.54628,3.85503,2.44149,0.00321,0.3166,0.01502,0.00406,1e-05,0.00116,1e-05,0,2.74998,3.05924,3.41262,2.91214,0.00144631,0.00144631,0.00144631
4,512.532,2.45367,3.77763,3.71716,2.43546,0.00389,0.32703,0.02092,0.00649,0,0,0,0,2.51402,3.12633,3.42578,2.72541,0.00133693,0.00133693,0.00133693
5,634.819,2.37119,3.5952,3.66986,2.34688,0.00325,0.37568,0.01503,0.00508,0,0,0,0,2.25422,2.9439,3.36282,2.47064,0.00122691,0.00122691,0.00122691
6,815.22,2.07154,2.86998,3.70192,2.30922,0.00484,0.34402,0.02712,0.00991,0,0,0,0,2.28873,2.95188,3.4108,2.46713,0.00111689,0.00111689,0.00111689
7,978.622,1.97872,2.76914,3.47264,2.24732,0.00763,0.34672,0.02421,0.00876,1e-05,0.00039,0,0,2.15064,2.90908,3.35067,2.37274,0.00100687,0.00100687,0.00100687
8,1113.49,1.97201,2.7895,3.45108,2.23562,0.00746,0.34093,0.02769,0.00962,2e-05,0.00077,2e-05,0,2.16635,2.84875,3.31697,2.37848,0.000896846,0.000896846,0.000896846
9,1235.39,1.95307,2.79167,3.39072,2.21513,0.00582,0.36718,0.02683,0.00943,1e-05,0.00039,0,0,2.12512,2.86683,3.25904,2.3152,0.000786824,0.000786824,0.000786824
10,1355.61,1.93467,2.78553,3.34506,2.16757,0.00854,0.35405,0.03259,0.0126,3e-05,0.00116,4e-05,2e-05,2.14529,2.85349,3.22161,2.29101,0.000676802,0.000676802,0.000676802
11,1506.99,1.87549,2.73328,3.31319,2.15578,0.00872,0.35869,0.03568,0.01413,2e-05,0.00077,0.00051,0.00025,2.09922,2.80105,3.21493,2.28074,0.00056678,0.00056678,0.00056678
12,1626.97,1.84882,2.6968,3.34981,2.11406,0.00661,0.37297,0.03601,0.01346,3e-05,0.00193,3e-05,1e-05,2.12723,2.80936,3.17411,2.27566,0.000456758,0.000456758,0.000456758
13,1749.46,1.80804,2.65455,3.30391,2.10418,0.00698,0.37529,0.04088,0.01612,2e-05,0.00116,0.00011,6e-05,2.07123,2.7895,3.1558,2.2576,0.000346736,0.000346736,0.000346736
14,1870.39,1.85794,2.72224,3.32786,2.13052,0.00838,0.36873,0.04279,0.01712,4e-05,0.00154,8e-05,4e-05,2.06145,2.77773,3.1704,2.23545,0.000236714,0.000236714,0.000236714
15,2021.64,1.79733,2.63544,3.27401,2.08119,0.00908,0.35714,0.04388,0.01755,5e-05,0.00193,0.00014,7e-05,2.05806,2.77405,3.15065,2.23297,0.000126692,0.000126692,0.000126692
